currency,rate,extracted_at,source
AED,3.673,2025-12-17 21:39:38.574285,API
AFN,65.500004,2025-12-17 21:39:38.574285,API
ALL,82.334059,2025-12-17 21:39:38.574285,API
AMD,381.500298,2025-12-17 21:39:38.574285,API
ANG,1.79,2025-12-17 21:39:38.574285,API
AOA,917.0,2025-12-17 21:39:38.574285,API
ARS,1450.7562,2025-12-17 21:39:38.574285,API
AUD,1.515064,2025-12-17 21:39:38.574285,API
AWG,1.8025,2025-12-17 21:39:38.574285,API
AZN,1.7,2025-12-17 21:39:38.574285,API
BAM,1.664936,2025-12-17 21:39:38.574285,API
BBD,2.0,2025-12-17 21:39:38.574285,API
BDT,122.121172,2025-12-17 21:39:38.574285,API
BGN,1.664352,2025-12-17 21:39:38.574285,API
BHD,0.377039,2025-12-17 21:39:38.574285,API
BIF,2966.0,2025-12-17 21:39:38.574285,API
BMD,1.0,2025-12-17 21:39:38.574285,API
BND,1.291462,2025-12-17 21:39:38.574285,API
BOB,6.905439,2025-12-17 21:39:38.574285,API
BRL,5.519299,2025-12-17 21:39:38.574285,API
BSD,1.0,2025-12-17 21:39:38.574285,API
BTC,1.1662622e-05,2025-12-17 21:39:38.574285,API
BTN,90.380572,2025-12-17 21:39:38.574285,API
BWP,13.198884,2025-12-17 21:39:38.574285,API
BYN,2.950951,2025-12-17 21:39:38.574285,API
BZD,2.009977,2025-12-17 21:39:38.574285,API
CAD,1.379031,2025-12-17 21:39:38.574285,API
CDF,2265.0,2025-12-17 21:39:38.574285,API
CHF,0.795018,2025-12-17 21:39:38.574285,API
CLF,0.023393,2025-12-17 21:39:38.574285,API
CLP,917.7,2025-12-17 21:39:38.574285,API
CNH,7.040332,2025-12-17 21:39:38.574285,API
CNY,7.0438,2025-12-17 21:39:38.574285,API
COP,3831.597016,2025-12-17 21:39:38.574285,API
CRC,499.701609,2025-12-17 21:39:38.574285,API
CUC,1.0,2025-12-17 21:39:38.574285,API
CUP,25.75,2025-12-17 21:39:38.574285,API
CVE,94.1,2025-12-17 21:39:38.574285,API
CZK,20.7734,2025-12-17 21:39:38.574285,API
DJF,177.827972,2025-12-17 21:39:38.574285,API
DKK,6.36179,2025-12-17 21:39:38.574285,API
DOP,62.75,2025-12-17 21:39:38.574285,API
DZD,129.45567,2025-12-17 21:39:38.574285,API
EGP,47.6017,2025-12-17 21:39:38.574285,API
ERN,15.0,2025-12-17 21:39:38.574285,API
ETB,155.2,2025-12-17 21:39:38.574285,API
EUR,0.851486,2025-12-17 21:39:38.574285,API
FJD,2.2845,2025-12-17 21:39:38.574285,API
FKP,0.747608,2025-12-17 21:39:38.574285,API
GBP,0.747608,2025-12-17 21:39:38.574285,API
GEL,2.695,2025-12-17 21:39:38.574285,API
GGP,0.747608,2025-12-17 21:39:38.574285,API
GHS,11.525,2025-12-17 21:39:38.574285,API
GIP,0.747608,2025-12-17 21:39:38.574285,API
GMD,73.500003,2025-12-17 21:39:38.574285,API
GNF,8687.5,2025-12-17 21:39:38.574285,API
GTQ,7.654,2025-12-17 21:39:38.574285,API
GYD,209.082639,2025-12-17 21:39:38.574285,API
HKD,7.780451,2025-12-17 21:39:38.574285,API
HNL,26.209999,2025-12-17 21:39:38.574285,API
HRK,6.415683,2025-12-17 21:39:38.574285,API
HTG,130.899202,2025-12-17 21:39:38.574285,API
HUF,331.48825,2025-12-17 21:39:38.574285,API
IDR,16695.93644,2025-12-17 21:39:38.574285,API
ILS,3.22995,2025-12-17 21:39:38.574285,API
IMP,0.747608,2025-12-17 21:39:38.574285,API
INR,90.412328,2025-12-17 21:39:38.574285,API
IQD,1310.0,2025-12-17 21:39:38.574285,API
IRR,42110.0,2025-12-17 21:39:38.574285,API
ISK,126.0,2025-12-17 21:39:38.574285,API
JEP,0.747608,2025-12-17 21:39:38.574285,API
JMD,159.912577,2025-12-17 21:39:38.574285,API
JOD,0.709,2025-12-17 21:39:38.574285,API
JPY,155.64514706,2025-12-17 21:39:38.574285,API
KES,128.9,2025-12-17 21:39:38.574285,API
KGS,87.45,2025-12-17 21:39:38.574285,API
KHR,4005.0,2025-12-17 21:39:38.574285,API
KMF,419.000301,2025-12-17 21:39:38.574285,API
KPW,900.0,2025-12-17 21:39:38.574285,API
KRW,1477.174159,2025-12-17 21:39:38.574285,API
KWD,0.306784,2025-12-17 21:39:38.574285,API
KYD,0.832814,2025-12-17 21:39:38.574285,API
KZT,514.01817,2025-12-17 21:39:38.574285,API
LAK,21655.0,2025-12-17 21:39:38.574285,API
LBP,89550.0,2025-12-17 21:39:38.574285,API
LKR,309.508143,2025-12-17 21:39:38.574285,API
LRD,177.374951,2025-12-17 21:39:38.574285,API
LSL,16.737221,2025-12-17 21:39:38.574285,API
LYD,5.42,2025-12-17 21:39:38.574285,API
MAD,9.15375,2025-12-17 21:39:38.574285,API
MDL,16.740703,2025-12-17 21:39:38.574285,API
MGA,4525.0,2025-12-17 21:39:38.574285,API
MKD,52.413331,2025-12-17 21:39:38.574285,API
MMK,2099.7,2025-12-17 21:39:38.574285,API
MNT,3582.15,2025-12-17 21:39:38.574285,API
MOP,8.007408,2025-12-17 21:39:38.574285,API
MRU,39.77,2025-12-17 21:39:38.574285,API
MUR,45.990003,2025-12-17 21:39:38.574285,API
MVR,15.405,2025-12-17 21:39:38.574285,API
MWK,1737.0,2025-12-17 21:39:38.574285,API
MXN,18.024953,2025-12-17 21:39:38.574285,API
MYR,4.0885,2025-12-17 21:39:38.574285,API
MZN,63.899993,2025-12-17 21:39:38.574285,API
NAD,16.73,2025-12-17 21:39:38.574285,API
NGN,1453.17,2025-12-17 21:39:38.574285,API
NIO,36.73,2025-12-17 21:39:38.574285,API
NOK,10.214395,2025-12-17 21:39:38.574285,API
NPR,144.605356,2025-12-17 21:39:38.574285,API
NZD,1.73209,2025-12-17 21:39:38.574285,API
OMR,0.384508,2025-12-17 21:39:38.574285,API
PAB,1.0,2025-12-17 21:39:38.574285,API
PEN,3.3645,2025-12-17 21:39:38.574285,API
PGK,4.248,2025-12-17 21:39:38.574285,API
PHP,58.620501,2025-12-17 21:39:38.574285,API
PKR,280.3,2025-12-17 21:39:38.574285,API
PLN,3.589221,2025-12-17 21:39:38.574285,API
PYG,6712.562811,2025-12-17 21:39:38.574285,API
QAR,3.641,2025-12-17 21:39:38.574285,API
RON,4.336,2025-12-17 21:39:38.574285,API
RSD,99.95486,2025-12-17 21:39:38.574285,API
RUB,80.500705,2025-12-17 21:39:38.574285,API
RWF,1450.0,2025-12-17 21:39:38.574285,API
SAR,3.750904,2025-12-17 21:39:38.574285,API
SBD,8.146673,2025-12-17 21:39:38.574285,API
SCR,14.469904,2025-12-17 21:39:38.574285,API
SDG,601.5,2025-12-17 21:39:38.574285,API
SEK,9.300558,2025-12-17 21:39:38.574285,API
SGD,1.291462,2025-12-17 21:39:38.574285,API
SHP,0.747608,2025-12-17 21:39:38.574285,API
SLE,24.1,2025-12-17 21:39:38.574285,API
SLL,20969.5,2025-12-17 21:39:38.574285,API
SOS,571.5,2025-12-17 21:39:38.574285,API
SRD,38.678,2025-12-17 21:39:38.574285,API
SSP,130.26,2025-12-17 21:39:38.574285,API
STD,22281.8,2025-12-17 21:39:38.574285,API
STN,21.175,2025-12-17 21:39:38.574285,API
SVC,8.744522,2025-12-17 21:39:38.574285,API
SYP,13002.0,2025-12-17 21:39:38.574285,API
SZL,16.745,2025-12-17 21:39:38.574285,API
THB,31.470339,2025-12-17 21:39:38.574285,API
TJS,9.202605,2025-12-17 21:39:38.574285,API
TMT,3.5,2025-12-17 21:39:38.574285,API
TND,2.90375,2025-12-17 21:39:38.574285,API
TOP,2.40776,2025-12-17 21:39:38.574285,API
TRY,42.7225,2025-12-17 21:39:38.574285,API
TTD,6.779097,2025-12-17 21:39:38.574285,API
TWD,31.496498,2025-12-17 21:39:38.574285,API
TZS,2468.951,2025-12-17 21:39:38.574285,API
UAH,42.230356,2025-12-17 21:39:38.574285,API
UGX,3562.362661,2025-12-17 21:39:38.574285,API
USD,1.0,2025-12-17 21:39:38.574285,API
UYU,39.18363,2025-12-17 21:39:38.574285,API
UZS,12075.0,2025-12-17 21:39:38.574285,API
VES,276.231259,2025-12-17 21:39:38.574285,API
VND,26333.114347,2025-12-17 21:39:38.574285,API
VUV,122.16,2025-12-17 21:39:38.574285,API
WST,2.816,2025-12-17 21:39:38.574285,API
XAF,558.538037,2025-12-17 21:39:38.574285,API
XAG,0.01508648,2025-12-17 21:39:38.574285,API
XAU,0.00023062,2025-12-17 21:39:38.574285,API
XCD,2.70255,2025-12-17 21:39:38.574285,API
XCG,1.801112,2025-12-17 21:39:38.574285,API
XDR,0.694475,2025-12-17 21:39:38.574285,API
XOF,558.538037,2025-12-17 21:39:38.574285,API
XPD,0.00059623,2025-12-17 21:39:38.574285,API
XPF,101.609278,2025-12-17 21:39:38.574285,API
XPT,0.00052288,2025-12-17 21:39:38.574285,API
YER,238.350012,2025-12-17 21:39:38.574285,API
ZAR,16.78915,2025-12-17 21:39:38.574285,API
ZMW,22.909742,2025-12-17 21:39:38.574285,API
ZWG,26.407,2025-12-17 21:39:38.574285,API
ZWL,322.0,2025-12-17 21:39:38.574285,API
